method,environment_count,mean_of_environment_means_seconds,mean_of_environment_stds_seconds,min_environment_mean_seconds,min_environment,max_environment_mean_seconds,max_environment,aggregation_note
Standard GA,5,12.88097619819641,1.4103007688742524,10.767579295635223,Level-1,18.752744076251982,Level-5,computed from environment-level summary means; raw per-run timings are not stored
AB-WOA-APF,5,31.46455617046356,2.736301306248669,27.45754940986633,Level-3,36.166317465305326,Level-2,computed from environment-level summary means; raw per-run timings are not stored
HWPSO,5,8.245728071212769,0.7919975524710888,6.771352248191834,Level-1,12.473778676986694,Level-5,computed from environment-level summary means; raw per-run timings are not stored
NSGA-II Length,5,152.06211497688292,11.165308803698538,130.78982149839402,Level-1,216.78974927425384,Level-5,computed from environment-level summary means; raw per-run timings are not stored
NSGA-II Smooth,5,152.06211497688292,11.165308803698538,130.78982149839402,Level-1,216.78974927425384,Level-5,computed from environment-level summary means; raw per-run timings are not stored
NSGA-II Effort,5,152.06211497688292,11.165308803698538,130.78982149839402,Level-1,216.78974927425384,Level-5,computed from environment-level summary means; raw per-run timings are not stored
NSGA-II Centered,5,152.06211497688292,11.165308803698538,130.78982149839402,Level-1,216.78974927425384,Level-5,computed from environment-level summary means; raw per-run timings are not stored
NSGA-II Safe,5,152.06211497688292,11.165308803698538,130.78982149839402,Level-1,216.78974927425384,Level-5,computed from environment-level summary means; raw per-run timings are not stored
NSGA-II Adaptive,5,152.06211497688292,11.165308803698538,130.78982149839402,Level-1,216.78974927425384,Level-5,computed from environment-level summary means; raw per-run timings are not stored
